"DATE","TIME","TYPE","REF #","DESCRIPTION","Misc Fees","Commissions & Fees","AMOUNT","BALANCE"
"10/20/23","01:00:00","BAL","","Cash balance at the start of business day 20.10 CST","","","","100,000,000.00"
"10/20/23","09:35:16","TRD","1743431108","SOLD -100,000 TSLA @214.82","-363.05","","21,482,000.00","121,481,636.95"
"10/20/23","09:35:43","TRD","1743431183","SOLD -100,000 AAPL @174.92","-295.61","","17,492,000.00","138,973,341.34"
"10/20/23","09:37:20","TRD","1743432883","BOT +100,000 AAPL @174.90","","","-17,490,000.00","121,483,341.34"
"10/20/23","09:38:12","TRD","1743436968","SOLD -100,000 AAPL @174.98","-295.72","","17,498,000.00","138,981,045.62"
"10/20/23","09:41:43","TRD","1743412165","SOLD -10 /ESZ23:XCME @4301.00","-11.90","-22.50","","138,981,011.22"
"10/20/23","11:28:41","TRD","1743635502","BOT +10 /ESZ23:XCME @4261.00","-11.90","-22.50","20,000.00","139,000,976.82"
"10/20/23","11:29:29","TRD","1743635529","BOT +100,000 TSLA @211.63","","","-21,163,000.00","117,837,976.82"
"10/20/23","13:18:36","TRD","1743744351","BOT +100,000 AAPL @174.48","","","-17,448,000.00","100,389,976.82"
"10/20/23","13:31:33","TRD","1743755558","SOLD -100,000 AAPL @174.10","-294.23","","17,410,000.00","117,799,682.59"
"10/21/23","01:00:00","BAL","","Cash balance at the start of business day 21.10 CST","","","","117,799,682.59"
"","","","","TOTAL","($1,272.41)","($45.00)","$17,801,000.00","$117,799,682.59"
"Futures Statements","","","","","","","",""
"Trade Date","Exec Date","Exec Time","Type","Ref #","Description","Misc Fees","Commissions & Fees","Amount,Balance"
"Forex Statements","","","","","","","",""
"","Date","Time","Type","Ref #","Description","Commissions & Fees","Amount","Amount(USD),Balance"
"","10/20/23","01:00:00","BAL","--","Cash balance at the start of the business day 20.10 CST.","--","--","--,""$10,000.00"""
"","10/21/23","01:00:00","BAL","--","Cash balance at the start of the business day 21.10 CST.","--","--","--,""$10,000.00"""
"Total Cash $117,799,682.59","","","","","","","",""
"Account Order History","","","","","","","",""
"Notes","","Time Placed","Spread","Side","Qty","Pos Effect","Symbol","Exp,Strike,Type,PRICE,,TIF,Status"
"","","10/21/23 12:50:52","STOCK","SELL","-70000","TO OPEN","UPS",",,STOCK,158.00,LMT,GTC,""REJECTED: Your buying power will be below zero ($2,511,214.91) if this order is accepted."""
"","","10/21/23 12:47:11","STOCK","BUY","+70000","TO OPEN","AMGN",",,STOCK,265.00,LMT,GTC,WORKING"
"","","10/21/23 12:39:55","STOCK","BUY","+20000","TO OPEN","NFLX",",,STOCK,400.00,LMT,GTC,WORKING"
"","","10/21/23 12:38:55","STOCK","BUY","+20000","TO OPEN","NFLX",",,STOCK,400.00,LMT,GTC,""REJECTED: Your buying power will be below zero ($3,912,964.91) if this order is accepted."""
"","","10/21/23 12:38:21","STOCK","SELL","-50000","TO OPEN","NKE",",,STOCK,102.55,LMT,GTC,WORKING"
"","","10/21/23 12:30:32","STOCK","SELL","-30000","TO OPEN","ACN",",,STOCK,311.00,LMT,GTC,WORKING"
"","","10/21/23 12:27:48","STOCK","SELL","-160000","TO OPEN","CRM",",,STOCK,212.70,LMT,GTC,WORKING"
"","","10/21/23 12:25:22","STOCK","SELL","-220000","TO OPEN","BAC",",,STOCK,26.25,LMT,GTC,WORKING"
"","","10/21/23 12:22:59","STOCK","BUY","+200000","TO OPEN","CSCO",",,STOCK,52.20,LMT,GTC,WORKING"
"","","10/21/23 12:20:58","STOCK","SELL","-55000","TO OPEN","PEP",",,STOCK,160.00,LMT,GTC,WORKING"
"","","10/21/23 12:19:43","STOCK","BUY","+18500","TO OPEN","COST",",,STOCK,542.00,LMT,GTC,WORKING"
"","","10/21/23 12:17:46","STOCK","SELL","-160000","TO OPEN","ORCL",",,STOCK,110.00,LMT,GTC,WORKING"
"","","10/21/23 12:10:54","STOCK","SELL","-80000","TO OPEN","MA",",,STOCK,388.00,LMT,GTC,CANCELED"
"","","10/21/23 12:01:02","STOCK","SELL","-70000","TO OPEN","JNJ",",,STOCK,153.00,LMT,GTC,WORKING"
"","","10/21/23 12:00:31","STOCK","BUY","+100000","TO OPEN","WMT",",,STOCK,155.00,LMT,GTC,WORKING"
"","","10/21/23 11:33:23","STOCK","SELL","-20000","TO OPEN","TSLA",",,STOCK,231.00,LMT,GTC,WORKING"
"","","10/21/23 11:31:05","STOCK","BUY","+160000","TO OPEN","GOOGL",",,STOCK,127.00,LMT,GTC,WORKING"
"","","10/21/23 11:28:49","STOCK","SELL","-60000","TO OPEN","FDX",",,STOCK,246.20,LMT,GTC,WORKING"
"","","10/20/23 13:31:25","STOCK","SELL","-100000","TO OPEN","AAPL",",,STOCK,~,MKT,DAY,FILLED"
"","","10/20/23 13:18:30","STOCK","BUY","+100000","TO CLOSE","AAPL",",,STOCK,~,MKT,DAY,FILLED"
"","","","RE #1743440302","","","","",",,,,,,"
"","","10/20/23 11:29:28","STOCK","BUY","+100000","TO CLOSE","TSLA",",,STOCK,~,MKT,DAY,FILLED"
"","","","RE #1743432837","","","","",",,,,,,"
"","","10/20/23 11:28:40","FUTURE","BUY","+10","TO CLOSE","/ESZ23","DEC 23,,FUTURE,~,MKT,DAY,FILLED"
"","","10/20/23 09:38:36","STOCK","BUY","+100000","TO CLOSE","AAPL",",,STOCK,~,MKT,DAY,CANCELED"
"","","","","","","","",",,,178.00,STP,STD,"
"","","10/20/23 09:38:10","STOCK","SELL","-100000","TO OPEN","AAPL",",,STOCK,~,MKT,DAY,FILLED"
"","","10/20/23 09:36:51","STOCK","BUY","+100000","TO CLOSE","AAPL",",,STOCK,~,MKT,DAY,FILLED"
"","","","","","","","",",,,174.89,STP,STD,"
"","","10/20/23 09:36:10","STOCK","BUY","+100000","TO CLOSE","TSLA",",,STOCK,~,MKT,DAY,CANCELED"
"","","","","","","","",",,,223.00,STP,STD,"
"","","10/20/23 09:35:28","STOCK","SELL","-100000","TO OPEN","AAPL",",,STOCK,~,MKT,DAY,FILLED"
"","","10/20/23 09:34:56","STOCK","SELL","-100000","TO OPEN","TSLA",",,STOCK,~,MKT,DAY,FILLED"
"","","10/20/23 09:20:50","FUTURE","SELL","-10","TO OPEN","/ESZ23","DEC 23,,FUTURE,4301.00,LMT,DAY,FILLED"
"","","","RE #1743412137","","","","",",,,,,,"
"","","10/20/23 09:16:40","FUTURE","SELL","-1","TO OPEN","/ESZ23","DEC 23,,FUTURE,4301.00,LMT,DAY,CANCELED"
"Account Trade History","","","","","","","",""
"","Exec Time","Spread","Side","Qty","Pos Effect","Symbol","Exp","Strike,Type,Price,Net Price,Order Type"
"","10/20/23 13:31:33","STOCK","SELL","-100000","TO OPEN","AAPL","",",STOCK,174.10,174.10,MKT"
"","10/20/23 13:18:36","STOCK","BUY","+100000","TO CLOSE","AAPL","",",STOCK,174.48,174.48,MKT"
"","10/20/23 11:29:29","STOCK","BUY","+100000","TO CLOSE","TSLA","",",STOCK,211.63,211.63,MKT"
"","10/20/23 11:28:41","FUTURE","BUY","+10","TO CLOSE","/ESZ23","DEC 23",",FUTURE,4261.00,4261.00,MKT"
"","10/20/23 09:41:43","FUTURE","SELL","-10","TO OPEN","/ESZ23","DEC 23",",FUTURE,4301.00,4301.00,LMT"
"","10/20/23 09:38:12","STOCK","SELL","-100000","TO OPEN","AAPL","",",STOCK,174.98,174.98,MKT"
"","10/20/23 09:37:20","STOCK","BUY","+100000","TO CLOSE","AAPL","",",STOCK,174.90,174.90,STP"
"","10/20/23 09:35:43","STOCK","SELL","-100000","TO OPEN","AAPL","",",STOCK,174.92,174.92,MKT"
"","10/20/23 09:35:16","STOCK","SELL","-100000","TO OPEN","TSLA","",",STOCK,214.82,214.82,MKT"
"Equities","","","","","","","",""
"Symbol","Description","Qty","Trade Price","Mark","Mark Value","","",""
"AAPL","APPLE INC COM","-100000","174.10","172.88","($17,288,000.00)","","",""
"","OVERALL TOTALS","","","","($17,288,000.00)","","",""
"Profits and Losses","","","","","","","",""
"Symbol","Description","P/L Open","P/L %","P/L Day","P/L YTD","P/L Diff","Margin Req","Mark Value"
"/6EU23","Euro FX Futures,Sep-2023,ETH (prev. /6EU3)","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"/ESZ23","E-mini S&P 500 Index Futures,Dec-2023,ETH (prev. /ESZ3)","$0.00","0.00%","$0.00","$20,000.00","$0.00","$0.00","$0.00"
