DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
11/6/23,01:00:00,BAL,,Cash balance at the start of business day 06.11 CST,,,,158596518.8,,,,,,
11/6/23,12:21:46,TRD,1750067189,"SOLD -25,000 TSLA @217.51",-91.9,,5437750,164034176.9,,,,,,
11/6/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4384.25 official settlement price,,,-12375,164021801.9,,,,,,
11/6/23,17:00:00,ADJ,,/6EZ23:XCME mark to market at 1.07425 official settlement price,,,150,164021951.9,,,,,,
11/6/23,17:15:00,ADJ,,/CLZ23:XNYM mark to market at 80.82 official settlement price,,,-31000,163990951.9,,,,,,
,,,,TOTAL,($91.90),,"$5,394,525.00","$163,990,951.90",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,11/6/23,01:00:00,BAL,--,Cash balance at the start of the business day 06.11 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $163,990,951.90",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,11/6/23 12:21:43,STOCK,SELL,-25000,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 15:02:09,FUTURE,BUY,100,TO CLOSE,/CLZ23,DEC 23,,FUTURE,78,LMT,GTC,CANCELED
,,10/21/23 12:27:48,STOCK,SELL,-160000,TO OPEN,CRM,,,STOCK,212.7,LMT,GTC,WORKING
,,10/21/23 12:17:46,STOCK,SELL,-160000,TO OPEN,ORCL,,,STOCK,110,LMT,GTC,WORKING
,,10/21/23 12:00:31,STOCK,BUY,100000,TO OPEN,WMT,,,STOCK,155,LMT,GTC,WORKING
,,,,,,,,,,,,,,
Account Trade History,,,,,,,,,,,,,,
